model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
omen,taobao,all-12-2700000-80,NONE,NONE,500000000,343195,28.19%
omen,mailru,all-12-850000-80,NONE,NONE,500000000,188321,37.78%
omen,taobao,all-12-1785681-80,NONE,NONE,500000000,343034,28.18%
omen,taobao,all-12-850000-80,NONE,NONE,500000000,339652,27.9%
omen,rockyou,all-12-850000-80,NONE,NONE,500000000,1318185,38.7%
omen,rockyou,all-12-2700000-80,NONE,NONE,500000000,1359921,39.93%
omen,rockyou,all-12-1785681-80,NONE,NONE,500000000,1350331,39.65%
omen,rockyou,all-12-4710736-80,NONE,NONE,500000000,1366210,40.11%
omen,linkedin,all-12-2700000-80,NONE,NONE,500000000,1319683,13.22%
omen,linkedin,all-12-11802325-80,NONE,NONE,500000000,1334642,13.37%
omen,linkedin,all-12-850000-80,NONE,NONE,500000000,1265642,12.68%
omen,linkedin,all-12-4710736-80,NONE,NONE,500000000,1330105,13.32%
omen,linkedin,all-12-1785681-80,NONE,NONE,500000000,1304447,13.07%
omen,linkedin,all-12-20000000-80,NONE,NONE,500000000,1339934,13.42%
pcfg,taobao,all-12-1785681-80,NONE,NONE,500000000,268420,22.05%
pcfg,taobao,all-12-2700000-80,NONE,NONE,500000000,289138,23.75%
pcfg,mailru,all-12-850000-80,NONE,NONE,500000000,180638,36.24%
pcfg,taobao,all-12-850000-80,NONE,NONE,500000000,232531,19.1%
pcfg,rockyou,all-12-850000-80,NONE,NONE,500000000,1117101,32.8%
pcfg,rockyou,all-12-1785681-80,NONE,NONE,500000000,1248845,36.67%
pcfg,rockyou,all-12-2700000-80,NONE,NONE,500000000,1318424,38.71%
pcfg,rockyou,all-12-4710736-80,NONE,NONE,500000000,1405762,41.27%
pcfg,linkedin,all-12-850000-80,NONE,NONE,500000000,2284892,22.89%
pcfg,linkedin,all-12-1785681-80,NONE,NONE,500000000,2528670,25.33%
pcfg,linkedin,all-12-11802325-80,NONE,NONE,500000000,3031585,30.37%
pcfg,linkedin,all-12-2700000-80,NONE,NONE,500000000,2640770,26.45%
pcfg,linkedin,all-12-20000000-80,NONE,NONE,500000000,3188406,31.94%
pcfg,linkedin,all-12-4710736-80,NONE,NONE,500000000,2775627,27.8%
