model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
omen,libero,all-12-100-80,500000000,r18,513249,0.1
omen,libero,all-12-100-80,500000000,r19,59995339,12.0
omen,ashleymadison,all-12-100-80,500000000,r1,139367041,27.87
omen,ashleymadison,all-12-100-80,500000000,r2,134013823,26.8
omen,ashleymadison,all-12-100-80,500000000,r3,2230100,0.45
omen,ashleymadison,all-12-100-80,500000000,r4,86524830,17.3
omen,ashleymadison,all-12-100-80,500000000,r5,61,0.0
omen,ashleymadison,all-12-100-80,500000000,r6,273801821,54.76
omen,ashleymadison,all-12-100-80,500000000,r7,102670,0.02
omen,ashleymadison,all-12-100-80,500000000,r8,26603,0.01
omen,ashleymadison,all-12-100-80,500000000,r9,176974,0.04
omen,ashleymadison,all-12-100-80,500000000,r10,234054641,46.81
omen,ashleymadison,all-12-100-80,500000000,r11,172409,0.03
omen,ashleymadison,all-12-100-80,500000000,r12,1388152,0.28
omen,ashleymadison,all-12-100-80,500000000,r13,31183,0.01
omen,ashleymadison,all-12-100-80,500000000,r14,91050176,18.21
omen,ashleymadison,all-12-100-80,500000000,r15,1748,0.0
omen,ashleymadison,all-12-100-80,500000000,r16,76,0.0
omen,ashleymadison,all-12-100-80,500000000,r17,1939,0.0
omen,ashleymadison,all-12-100-80,500000000,r18,53766,0.01
omen,ashleymadison,all-12-100-80,500000000,r19,47001989,9.4
omen,taobao,all-12-100-80,500000000,r1,23443321,4.69
omen,taobao,all-12-100-80,500000000,r2,23400371,4.68
omen,taobao,all-12-100-80,500000000,r3,21465,0.0
omen,taobao,all-12-100-80,500000000,r4,176586563,35.32
omen,taobao,all-12-100-80,500000000,r5,24,0.0
omen,taobao,all-12-100-80,500000000,r6,299860500,59.97
omen,taobao,all-12-100-80,500000000,r7,11999,0.0
omen,taobao,all-12-100-80,500000000,r8,10240,0.0
omen,taobao,all-12-100-80,500000000,r9,87353,0.02
omen,taobao,all-12-100-80,500000000,r10,298600536,59.72
omen,taobao,all-12-100-80,500000000,r11,20176,0.0
omen,taobao,all-12-100-80,500000000,r12,364,0.0
omen,taobao,all-12-100-80,500000000,r13,4597,0.0
omen,taobao,all-12-100-80,500000000,r14,176750523,35.35
omen,taobao,all-12-100-80,500000000,r15,0,0.0
omen,taobao,all-12-100-80,500000000,r16,62,0.0
omen,taobao,all-12-100-80,500000000,r17,232,0.0
omen,taobao,all-12-100-80,500000000,r18,318,0.0
omen,taobao,all-12-100-80,500000000,r19,53132832,10.63
omen,mailru,all-12-100-80,500000000,r1,53179681,10.64
omen,mailru,all-12-100-80,500000000,r2,48827107,9.77
omen,mailru,all-12-100-80,500000000,r3,367274,0.07
omen,mailru,all-12-100-80,500000000,r4,232604953,46.52
omen,mailru,all-12-100-80,500000000,r5,362,0.0
omen,mailru,all-12-100-80,500000000,r6,210452565,42.09
omen,mailru,all-12-100-80,500000000,r7,946643,0.19
omen,mailru,all-12-100-80,500000000,r8,1027390,0.21
omen,mailru,all-12-100-80,500000000,r9,1788406,0.36
omen,mailru,all-12-100-80,500000000,r10,117340137,23.47
omen,mailru,all-12-100-80,500000000,r11,345707,0.07
omen,mailru,all-12-100-80,500000000,r12,419498,0.08
omen,mailru,all-12-100-80,500000000,r13,327944,0.07
omen,mailru,all-12-100-80,500000000,r14,246786897,49.36
omen,mailru,all-12-100-80,500000000,r15,30464,0.01
omen,mailru,all-12-100-80,500000000,r16,3661,0.0
omen,mailru,all-12-100-80,500000000,r17,155773,0.03
omen,mailru,all-12-100-80,500000000,r18,15290,0.0
omen,mailru,all-12-100-80,500000000,r19,62648260,12.53
pcfg,rockyou,all-12-100-80,500000000,r1,71108756,14.22
pcfg,rockyou,all-12-100-80,500000000,r2,57380682,11.48
pcfg,rockyou,all-12-100-80,500000000,r3,2667723,0.53
pcfg,rockyou,all-12-100-80,500000000,r4,1995960,0.4
pcfg,rockyou,all-12-100-80,500000000,r5,3446,0.0
pcfg,rockyou,all-12-100-80,500000000,r6,400170917,80.03
pcfg,rockyou,all-12-100-80,500000000,r7,16758470,3.35
pcfg,rockyou,all-12-100-80,500000000,r8,1067805,0.21
pcfg,rockyou,all-12-100-80,500000000,r9,8894646,1.78
pcfg,rockyou,all-12-100-80,500000000,r10,343061336,68.61
pcfg,rockyou,all-12-100-80,500000000,r11,14820712,2.96
