model,train-dataset,test-settings,n_samples,length,test-size,matches,match_percentage
pcfg,mailru,all-12-100-80,500000000,7,85038,42275,49.71
pcfg,mailru,all-12-100-80,500000000,6,79124,42755,54.04
pcfg,mailru,all-12-100-80,500000000,12,29474,4695,15.93
pcfg,mailru,all-12-100-80,500000000,10,50972,14905,29.24
pcfg,mailru,all-12-100-80,500000000,9,74501,35596,47.78
pcfg,mailru,all-12-100-80,500000000,5,4663,3019,64.74
pcfg,mailru,all-12-100-80,500000000,4,3013,2698,89.55
pcfg,mailru,all-12-100-80,500000000,3,111,108,97.3
pcfg,mailru,all-12-100-80,500000000,2,2,2,100.0
pcfg,mailru,all-12-100-80,500000000,1,1,1,100.0
