model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
pcfg,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,100000000,155520,35.32%
pcfg,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,250000000,168060,38.17%
pcfg,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,500000000,175832,39.93%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,1000000,24793,5.03%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,2500000,56604,11.49%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,5000000,70582,14.33%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,7500000,77429,15.72%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,10000000,83288,16.91%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,25000000,99715,20.24%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,50000000,114669,23.28%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,75000000,122964,24.96%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,100000000,128029,25.99%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,250000000,141631,28.75%
pcfg,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,500000000,149619,30.37%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,1000000,196734,9.38%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,2500000,326564,15.57%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,5000000,554650,26.45%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,7500000,634092,30.24%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,10000000,677748,32.32%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,25000000,786165,37.49%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,50000000,859812,41.0%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,75000000,898833,42.86%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,100000000,925020,44.11%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,250000000,1005818,47.96%
pcfg,rockyou,all-8-100-80,8fffafbb5c7311b85a7227e466667ba2,2096861,500000000,1061003,50.6%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,1000000,119274,2.21%
