model,train-dataset,test-settings,n_samples,pattern,test-size,matches,match_percentage
pcfg,mailru,all-12-100-80,500000000,r1,106029,29094,27.44
pcfg,mailru,all-12-100-80,500000000,r2,87881,25560,29.08
pcfg,mailru,all-12-100-80,500000000,r3,1731,911,52.63
pcfg,mailru,all-12-100-80,500000000,r4,77291,35181,45.52
pcfg,mailru,all-12-100-80,500000000,r5,8,5,62.5
pcfg,mailru,all-12-100-80,500000000,r6,303971,134515,44.25
pcfg,mailru,all-12-100-80,500000000,r7,3166,348,10.99
pcfg,mailru,all-12-100-80,500000000,r8,2291,853,37.23
pcfg,mailru,all-12-100-80,500000000,r9,5680,666,11.73
pcfg,mailru,all-12-100-80,500000000,r10,153725,80443,52.33
pcfg,mailru,all-12-100-80,500000000,r11,782,143,18.29
pcfg,mailru,all-12-100-80,500000000,r12,2629,368,14.0
pcfg,mailru,all-12-100-80,500000000,r13,1017,350,34.41
pcfg,mailru,all-12-100-80,500000000,r14,93417,38736,41.47
pcfg,mailru,all-12-100-80,500000000,r15,124,19,15.32
pcfg,mailru,all-12-100-80,500000000,r16,269,61,22.68
pcfg,mailru,all-12-100-80,500000000,r17,347,68,19.6
pcfg,mailru,all-12-100-80,500000000,r18,227,49,21.59
pcfg,mailru,all-12-100-80,500000000,r19,30500,14971,49.09
