model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
omen,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,500000000,139295,81.8%
omen,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,500000000,3681,77.81%
omen,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,500000000,38385,37.08%
omen,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,500000000,26209,73.21%
omen,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,500000000,21669,86.95%
omen,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,500000000,37472,61.57%
omen,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,500000000,39226,78.7%
omen,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,500000000,60957,29.44%
omen,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,500000000,53554,43.99%
omen,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,500000000,6817,72.05%
omen,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,500000000,46146,64.45%
omen,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,500000000,254656,74.77%
omen,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,500000000,181732,9.75%
omen,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,500000000,32957,38.7%
omen,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,500000000,152252,33.94%
omen,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,500000000,290804,26.54%
omen,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,500000000,198557,30.81%
omen,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,500000000,1117692,36.46%
pcfg,000webhost,all-12-5-100-80,970f5150d870bafc006c4658a3e96f4b,103521,500000000,63667,61.5%
pcfg,rockyou,all-12-5-100-80,39d3c50cb3e5d052a98f13e906111f7b,170295,500000000,157320,92.38%
pcfg,mailru,all-12-5-100-80,7888a4fc2d5b90912ba4995c3daa0499,24922,500000000,22235,89.22%
pcfg,taobao,all-12-5-100-80,57de0edcecda8c613376dad80aba177d,60865,500000000,33600,55.2%
pcfg,libero,all-12-5-100-80,822569f49d444ad9d728df9f4d42dead,4731,500000000,3737,78.99%
pcfg,gmail,all-12-5-100-80,5dd9b46019728356fafbf71a76adc82b,35798,500000000,29134,81.38%
pcfg,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,500000000,110421,53.33%
pcfg,mailru,all-12-10-100-80,410df73ba44f9b4f766a9f06e8eadefa,49844,500000000,39824,79.9%
pcfg,libero,all-12-10-100-80,3ec7c8727828011b84bec6bfbcb22f47,9462,500000000,6659,70.38%
pcfg,taobao,all-12-10-100-80,6cab0171743c1a9acab96d4c5bfaf3d9,121730,500000000,48673,39.98%
pcfg,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,500000000,50031,69.88%
pcfg,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,500000000,284631,83.57%
pcfg,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,500000000,1256028,40.98%
pcfg,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,500000000,485520,26.06%
pcfg,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,500000000,160839,35.85%
pcfg,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,500000000,269845,24.63%
pcfg,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,500000000,226807,35.2%
pcfg,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,500000000,34123,40.07%
