model,train-dataset,test-settings,n_samples,length,matches,match_percentage
omen,mailru,all-12-100-80,500000000,12,73383969,14.68
pcfg,rockyou,all-12-100-80,500000000,1,93,0.0
pcfg,rockyou,all-12-100-80,500000000,2,3788,0.0
pcfg,rockyou,all-12-100-80,500000000,3,59885,0.01
pcfg,rockyou,all-12-100-80,500000000,4,335705,0.07
pcfg,rockyou,all-12-100-80,500000000,5,4727225,0.95
pcfg,rockyou,all-12-100-80,500000000,6,47275244,9.46
pcfg,rockyou,all-12-100-80,500000000,7,91733682,18.35
pcfg,rockyou,all-12-100-80,500000000,8,155009489,31.0
pcfg,rockyou,all-12-100-80,500000000,9,107593341,21.52
pcfg,rockyou,all-12-100-80,500000000,10,62326590,12.47
pcfg,rockyou,all-12-100-80,500000000,11,21807507,4.36
pcfg,rockyou,all-12-100-80,500000000,12,9127190,1.83
pcfg,linkedin,all-12-100-80,500000000,1,91,0.0
pcfg,linkedin,all-12-100-80,500000000,2,567,0.0
pcfg,linkedin,all-12-100-80,500000000,3,271,0.0
pcfg,linkedin,all-12-100-80,500000000,4,4464,0.0
pcfg,linkedin,all-12-100-80,500000000,5,49996,0.01
pcfg,linkedin,all-12-100-80,500000000,6,56519314,11.3
pcfg,linkedin,all-12-100-80,500000000,7,75306771,15.06
pcfg,linkedin,all-12-100-80,500000000,8,194770031,38.95
pcfg,linkedin,all-12-100-80,500000000,9,93236404,18.65
pcfg,linkedin,all-12-100-80,500000000,10,50116396,10.02
pcfg,linkedin,all-12-100-80,500000000,11,20744422,4.15
pcfg,linkedin,all-12-100-80,500000000,12,9251252,1.85
pcfg,000webhost,all-12-100-80,500000000,1,82,0.0
pcfg,000webhost,all-12-100-80,500000000,2,6978,0.0
pcfg,000webhost,all-12-100-80,500000000,3,46868,0.01
pcfg,000webhost,all-12-100-80,500000000,4,41351,0.01
pcfg,000webhost,all-12-100-80,500000000,5,99349,0.02
pcfg,000webhost,all-12-100-80,500000000,6,35276690,7.06
pcfg,000webhost,all-12-100-80,500000000,7,47998885,9.6
pcfg,000webhost,all-12-100-80,500000000,8,130701747,26.14
pcfg,000webhost,all-12-100-80,500000000,9,108999058,21.8
pcfg,000webhost,all-12-100-80,500000000,10,91837308,18.37
pcfg,000webhost,all-12-100-80,500000000,11,57053782,11.41
pcfg,000webhost,all-12-100-80,500000000,12,27937661,5.59
pcfg,gmail,all-12-100-80,500000000,1,65,0.0
pcfg,gmail,all-12-100-80,500000000,2,4032,0.0
pcfg,gmail,all-12-100-80,500000000,3,228933,0.05
pcfg,gmail,all-12-100-80,500000000,4,853756,0.17
pcfg,gmail,all-12-100-80,500000000,5,5276902,1.06
pcfg,gmail,all-12-100-80,500000000,6,47440950,9.49
pcfg,gmail,all-12-100-80,500000000,7,62702505,12.54
pcfg,gmail,all-12-100-80,500000000,8,160204263,32.04
pcfg,gmail,all-12-100-80,500000000,9,99060822,19.81
pcfg,gmail,all-12-100-80,500000000,10,83498701,16.7
pcfg,gmail,all-12-100-80,500000000,11,27637013,5.53
pcfg,gmail,all-12-100-80,500000000,12,13092054,2.62
pcfg,libero,all-12-100-80,500000000,1,52,0.0
pcfg,libero,all-12-100-80,500000000,2,100,0.0
pcfg,libero,all-12-100-80,500000000,3,16453,0.0
pcfg,libero,all-12-100-80,500000000,4,48702,0.01
pcfg,libero,all-12-100-80,500000000,5,113251,0.02
pcfg,libero,all-12-100-80,500000000,6,19605760,3.92
pcfg,libero,all-12-100-80,500000000,7,28064871,5.61
pcfg,libero,all-12-100-80,500000000,8,175579961,35.12
pcfg,libero,all-12-100-80,500000000,9,90812026,18.16
pcfg,libero,all-12-100-80,500000000,10,93570524,18.71
pcfg,libero,all-12-100-80,500000000,11,53833455,10.77
pcfg,libero,all-12-100-80,500000000,12,38346364,7.67
pcfg,ashleymadison,all-12-100-80,500000000,1,89,0.0
pcfg,ashleymadison,all-12-100-80,500000000,2,3822,0.0
pcfg,ashleymadison,all-12-100-80,500000000,3,83410,0.02
pcfg,ashleymadison,all-12-100-80,500000000,4,1422326,0.28
pcfg,ashleymadison,all-12-100-80,500000000,5,22047894,4.41
pcfg,ashleymadison,all-12-100-80,500000000,6,50283115,10.06
pcfg,ashleymadison,all-12-100-80,500000000,7,80507881,16.1
