combo,train-dataset,test-settings,n_samples,mergeability-index
passflow-vgpt2,rockyou,all-12-100-80,500000000,0.2713096301361765
passflow-passgpt,linkedin,all-12-100-80,500000000,0.03304249211567623
passgan-passgpt,rockyou,all-12-100-80,500000000,0.03795546741188137
passflow-plrgan,linkedin,all-12-100-80,500000000,0.19272319076527294
passgan-plrgan,rockyou,all-12-100-80,500000000,0.1589805027575781
passflow-vgpt2,linkedin,all-12-100-80,500000000,0.24905177716419938
passgan-vgpt2,rockyou,all-12-100-80,500000000,0.20650570175150987
passgpt-plrgan,rockyou,all-12-100-80,500000000,0.06192253372997987
passgan-passgpt,linkedin,all-12-100-80,500000000,0.035331302806745665
passgpt-vgpt2,rockyou,all-12-100-80,500000000,0.05338561855824995
passgan-plrgan,linkedin,all-12-100-80,500000000,0.20073878765728606
plrgan-vgpt2,rockyou,all-12-100-80,500000000,0.26705595365602625
passgan-vgpt2,linkedin,all-12-100-80,500000000,0.3182121363365096
passgpt-plrgan,linkedin,all-12-100-80,500000000,0.07709447555885916
passgpt-vgpt2,linkedin,all-12-100-80,500000000,0.0541250634758592
plrgan-vgpt2,linkedin,all-12-100-80,500000000,0.33594032748213254
fla-omen,rockyou,all-12-100-80,500000000,0.03303400113414795
fla-omen,linkedin,all-12-100-80,500000000,0.03721383478256799
fla-omen,000webhost,all-12-100-80,500000000,0.013581761335587236
fla-omen,gmail,all-12-100-80,500000000,0.02504854943170056
fla-omen,libero,all-12-100-80,500000000,0.01731016180121565
fla-omen,ashleymadison,all-12-100-80,500000000,0.03167967869510871
fla-omen,taobao,all-12-100-80,500000000,0.02975944583246895
fla-omen,mailru,all-12-100-80,500000000,0.014823361032815854
fla-pcfg,rockyou,all-12-100-80,500000000,0.09435615741352121
fla-pcfg,linkedin,all-12-100-80,500000000,0.22228209644718833
fla-pcfg,000webhost,all-12-100-80,500000000,0.09970679312459796
fla-pcfg,gmail,all-12-100-80,500000000,0.07681900180396874
fla-pcfg,libero,all-12-100-80,500000000,0.07495933567331564
fla-pcfg,ashleymadison,all-12-100-80,500000000,0.09102272494416098
fla-pcfg,taobao,all-12-100-80,500000000,0.071587188483706
fla-pcfg,mailru,all-12-100-80,500000000,0.05453609451900749
omen-passflow,rockyou,all-12-100-80,500000000,0.0900931032749006
omen-passflow,linkedin,all-12-100-80,500000000,0.17881441263647227
omen-passflow,000webhost,all-12-100-80,500000000,0.15339448180379747
omen-passflow,gmail,all-12-100-80,500000000,0.0748417469340384
omen-passflow,libero,all-12-100-80,500000000,0.024639211545230553
omen-passflow,ashleymadison,all-12-100-80,500000000,0.048728402251989905
omen-passflow,taobao,all-12-100-80,500000000,0.14128070577917684
omen-passflow,mailru,all-12-100-80,500000000,0.07108388431046908
omen-passgan,rockyou,all-12-100-80,500000000,0.03552672902698807
omen-passgan,linkedin,all-12-100-80,500000000,0.15622273260279412
omen-passgan,000webhost,all-12-100-80,500000000,0.08805956619198312
omen-passgan,gmail,all-12-100-80,500000000,0.06206299064580328
omen-passgan,libero,all-12-100-80,500000000,0.053250867400814604
omen-passgan,ashleymadison,all-12-100-80,500000000,0.04287655656321935
omen-passgan,taobao,all-12-100-80,500000000,0.05262271421809343
omen-passgan,mailru,all-12-100-80,500000000,0.033941236068895646
omen-passgpt,rockyou,all-12-100-80,500000000,0.16567985816881517
omen-passgpt,linkedin,all-12-100-80,500000000,0.14228685516149414
omen-passgpt,000webhost,all-12-100-80,500000000,0.10060570493414539
omen-passgpt,gmail,all-12-100-80,500000000,0.13440548072457037
omen-passgpt,libero,all-12-100-80,500000000,0.1324931716900666
omen-passgpt,ashleymadison,all-12-100-80,500000000,0.14449344094073274
omen-passgpt,taobao,all-12-100-80,500000000,0.2050585172777997
omen-passgpt,mailru,all-12-100-80,500000000,0.12170338001421803
omen-pcfg,rockyou,all-12-100-80,500000000,0.35205973547683167
omen-pcfg,linkedin,all-12-100-80,500000000,0.12790065792837582
omen-pcfg,000webhost,all-12-100-80,500000000,0.04359834882706313
omen-pcfg,gmail,all-12-100-80,500000000,0.35866592977094824
omen-pcfg,libero,all-12-100-80,500000000,0.3605110222897918
omen-pcfg,ashleymadison,all-12-100-80,500000000,0.33069861608009543
omen-pcfg,taobao,all-12-100-80,500000000,0.44434409638834116
omen-pcfg,mailru,all-12-100-80,500000000,0.27135047318140365
omen-plrgan,rockyou,all-12-100-80,500000000,0.06585797906797625
omen-plrgan,linkedin,all-12-100-80,500000000,0.353450405712746
omen-plrgan,000webhost,all-12-100-80,500000000,0.18867434731012658
omen-plrgan,gmail,all-12-100-80,500000000,0.0874284336522233
omen-plrgan,libero,all-12-100-80,500000000,0.06398652385980791
omen-plrgan,ashleymadison,all-12-100-80,500000000,0.04559447541392795
omen-plrgan,taobao,all-12-100-80,500000000,0.09391706862355056
omen-plrgan,mailru,all-12-100-80,500000000,0.04558226010298833
omen-vgpt2,rockyou,all-12-100-80,500000000,0.06800102306486625
omen-vgpt2,linkedin,all-12-100-80,500000000,0.28800342752815655
omen-vgpt2,000webhost,all-12-100-80,500000000,0.10126170226793249
omen-vgpt2,gmail,all-12-100-80,500000000,0.08272477247929122
omen-vgpt2,libero,all-12-100-80,500000000,0.00027656257856891435
omen-vgpt2,ashleymadison,all-12-100-80,500000000,0.0014421610228249715
omen-vgpt2,taobao,all-12-100-80,500000000,0.06444474774725067
omen-vgpt2,mailru,all-12-100-80,500000000,0.03955023553619737
passflow-pcfg,rockyou,all-12-100-80,500000000,0.1732875347497402
passflow-pcfg,linkedin,all-12-100-80,500000000,0.033783783783783786
passflow-pcfg,000webhost,all-12-100-80,500000000,0.008715642514347081
passflow-pcfg,gmail,all-12-100-80,500000000,0.15954514750557186
passflow-pcfg,libero,all-12-100-80,500000000,0.19035825506976287
passflow-pcfg,ashleymadison,all-12-100-80,500000000,0.19417165157864433
passflow-pcfg,taobao,all-12-100-80,500000000,0.43530800553816595
passflow-pcfg,mailru,all-12-100-80,500000000,0.17852817908632881
passgan-pcfg,rockyou,all-12-100-80,500000000,0.12242942792662101
passgan-pcfg,linkedin,all-12-100-80,500000000,0.04468425264544759
passgan-pcfg,000webhost,all-12-100-80,500000000,0.008450515152532135
passgan-pcfg,gmail,all-12-100-80,500000000,0.15240376105795106
passgan-pcfg,libero,all-12-100-80,500000000,0.25867438267820797
passgan-pcfg,ashleymadison,all-12-100-80,500000000,0.29045775886887815
passgan-pcfg,taobao,all-12-100-80,500000000,0.2852657785926654
passgan-pcfg,mailru,all-12-100-80,500000000,0.11762507288339155
passgpt-pcfg,rockyou,all-12-100-80,500000000,0.2356218636377295
passgpt-pcfg,linkedin,all-12-100-80,500000000,0.22841934283264742
passgpt-pcfg,000webhost,all-12-100-80,500000000,0.08474846461053126
passgpt-pcfg,gmail,all-12-100-80,500000000,0.3016755006693806
passgpt-pcfg,libero,all-12-100-80,500000000,0.36180459054099384
passgpt-pcfg,ashleymadison,all-12-100-80,500000000,0.4078109990393852
passgpt-pcfg,taobao,all-12-100-80,500000000,0.30161202564731737
passgpt-pcfg,mailru,all-12-100-80,500000000,0.26635943784084753
pcfg-plrgan,rockyou,all-12-100-80,500000000,0.18864330134053026
pcfg-plrgan,linkedin,all-12-100-80,500000000,0.09192090590304326
pcfg-plrgan,000webhost,all-12-100-80,500000000,0.017186293922206934
pcfg-plrgan,gmail,all-12-100-80,500000000,0.22523000899446244
pcfg-plrgan,libero,all-12-100-80,500000000,0.2841519334984429
pcfg-plrgan,ashleymadison,all-12-100-80,500000000,0.30379706343367135
pcfg-plrgan,taobao,all-12-100-80,500000000,0.34172744311920555
pcfg-plrgan,mailru,all-12-100-80,500000000,0.13947763165107668
pcfg-vgpt2,rockyou,all-12-100-80,500000000,0.16182620553931792
pcfg-vgpt2,linkedin,all-12-100-80,500000000,0.06861397452712513
pcfg-vgpt2,000webhost,all-12-100-80,500000000,0.0073295969392891906
pcfg-vgpt2,gmail,all-12-100-80,500000000,0.1615318761581725
pcfg-vgpt2,libero,all-12-100-80,500000000,0.0005149456854907923
pcfg-vgpt2,ashleymadison,all-12-100-80,500000000,0.0020472793576661015
pcfg-vgpt2,taobao,all-12-100-80,500000000,0.26626836244219304
pcfg-vgpt2,mailru,all-12-100-80,500000000,0.11167479804448253
