combo,train-dataset,test-settings,n_samples,intersection,union,jaccard-index
passflow-plrgan,ashleymadison,all-12-100-80,500000000,5429833,684271936,0.007935197564495762
passflow-plrgan,taobao,all-12-100-80,500000000,24715532,734619453,0.033643993361553416
passflow-plrgan,mailru,all-12-100-80,500000000,11496585,752491537,0.015278025645091075
passflow-vgpt2,rockyou,all-12-100-80,500000000,26391880,896717059,0.02943166937119683
passflow-vgpt2,linkedin,all-12-100-80,500000000,9794081,951823970,0.010289802850835958
passflow-vgpt2,000webhost,all-12-100-80,500000000,3306650,974924831,0.003391697385128967
passflow-vgpt2,gmail,all-12-100-80,500000000,14611811,900222713,0.016231328968923715
passflow-vgpt2,libero,all-12-100-80,500000000,3049,902484535,3.3784512440426474e-06
passflow-vgpt2,ashleymadison,all-12-100-80,500000000,22799,807510973,2.8233672064292803e-05
passflow-vgpt2,taobao,all-12-100-80,500000000,21586294,846938455,0.025487441115187054
passflow-vgpt2,mailru,all-12-100-80,500000000,12234402,891904039,0.013717172997352017
passgan-passgpt,rockyou,all-12-100-80,500000000,11487040,606732304,0.018932632932628556
passgan-passgpt,linkedin,all-12-100-80,500000000,7866290,724681935,0.010854817293051468
passgan-passgpt,000webhost,all-12-100-80,500000000,3173830,812345015,0.00390699757048426
passgan-passgpt,gmail,all-12-100-80,500000000,8159135,597919909,0.013645866072005975
passgan-passgpt,libero,all-12-100-80,500000000,8336093,518024820,0.01609207257675414
passgan-passgpt,ashleymadison,all-12-100-80,500000000,13899105,509659428,0.027271358551224523
passgan-passgpt,taobao,all-12-100-80,500000000,15135882,658443583,0.022987363520254704
passgan-passgpt,mailru,all-12-100-80,500000000,7496311,609742804,0.012294218071657636
passgan-pcfg,rockyou,all-12-100-80,500000000,10623576,745425341,0.014251696871142458
passgan-pcfg,linkedin,all-12-100-80,500000000,12387956,815685699,0.015187168311504257
passgan-pcfg,000webhost,all-12-100-80,500000000,6983383,866004728,0.008063908630300227
passgan-pcfg,gmail,all-12-100-80,500000000,7075899,741709923,0.009539981575789164
passgan-pcfg,libero,all-12-100-80,500000000,3525791,703666687,0.005010598149859552
passgan-pcfg,ashleymadison,all-12-100-80,500000000,7513877,723131000,0.010390754925456106
passgan-pcfg,taobao,all-12-100-80,500000000,7300867,765932355,0.009531999728618332
passgan-pcfg,mailru,all-12-100-80,500000000,6039936,756525074,0.007983788254452489
passgan-plrgan,rockyou,all-12-100-80,500000000,11546248,625421458,0.01846154757293281
passgan-plrgan,linkedin,all-12-100-80,500000000,8569860,765795690,0.011190791632687304
passgan-plrgan,000webhost,all-12-100-80,500000000,4543166,834573954,0.005443694927483922
passgan-plrgan,gmail,all-12-100-80,500000000,7757352,604238439,0.012838229909434808
passgan-plrgan,libero,all-12-100-80,500000000,5219458,451025051,0.011572434809169835
passgan-plrgan,ashleymadison,all-12-100-80,500000000,8175545,460987267,0.017734860776534203
passgan-plrgan,taobao,all-12-100-80,500000000,13407222,630210797,0.021274186452886177
passgan-plrgan,mailru,all-12-100-80,500000000,5858698,591856829,0.009898843289345573
passgan-vgpt2,rockyou,all-12-100-80,500000000,10158900,715442704,0.014199459919294949
passgan-vgpt2,linkedin,all-12-100-80,500000000,5946014,808859182,0.007351111457123818
passgan-vgpt2,000webhost,all-12-100-80,500000000,2318268,868099547,0.002670509399540097
passgan-vgpt2,gmail,all-12-100-80,500000000,7247975,717438933,0.010102567154659839
passgan-vgpt2,libero,all-12-100-80,500000000,29905,627112001,4.768685649822224e-05
passgan-vgpt2,ashleymadison,all-12-100-80,500000000,134394,586860421,0.00022900504990777014
passgan-vgpt2,taobao,all-12-100-80,500000000,10719463,742088320,0.014444996250581063
passgan-vgpt2,mailru,all-12-100-80,500000000,4914795,732951051,0.006705488713461167
passgpt-pcfg,rockyou,all-12-100-80,500000000,66229228,794616125,0.08334745031759833
passgpt-pcfg,linkedin,all-12-100-80,500000000,81374161,822054315,0.09898878883690307
passgpt-pcfg,000webhost,all-12-100-80,500000000,34816922,907137688,0.03838107760329323
passgpt-pcfg,gmail,all-12-100-80,500000000,41246065,815055301,0.05060523494466543
passgpt-pcfg,libero,all-12-100-80,500000000,13967679,804576522,0.017360286583157344
